epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,70.3137,1.50861,3.00677,9.50512,0.01251,4.32949,0.22677,0.04816,0.03218,0.02054,0.22897,0.05403,0.03708,0.01965,1.79501,3.94559,8.28763,0.02088,0,0.00991304,0.00330435,0.00991304,0.00330435,0.0768696,0.0702609,0.00991304,0.00330435
2,123.257,1.38194,2.40661,6.59116,0.01082,1.91816,0.27722,0.19361,0.14109,0.07791,0.27895,0.19687,0.13432,0.07368,1.92237,3.79767,7.14998,0.02292,0,0.0199109,0.00663696,0.0199109,0.00663696,0.0535341,0.0402601,0.0199109,0.00663696
3,175.366,1.41357,2.36089,5.78973,0.012,1.52209,0.35505,0.072,0.07078,0.04255,0.35191,0.06835,0.06441,0.03459,2.39542,4.398,8.48462,0.02868,0,0.0299001,0.00996669,0.0299001,0.00996669,0.0301899,0.0102565,0.0299001,0.00996669
4,225.351,1.45976,2.41078,5.25024,0.01222,1.46351,0.38751,0.24215,0.18663,0.09558,0.39579,0.23,0.18685,0.09095,1.66052,3.08454,5.9008,0.01927,0,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,277.276,1.54064,2.46914,4.99254,0.01333,1.4203,0.38615,0.26621,0.2064,0.10971,0.36758,0.25316,0.19625,0.10081,1.77238,3.09506,5.54962,0.02033,0,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,329.389,1.5337,2.35371,4.74445,0.01325,1.41121,0.4606,0.22805,0.22611,0.11047,0.51532,0.22041,0.21773,0.10776,1.74668,2.98047,5.59532,0.02091,0,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,380.98,1.54976,2.37953,4.83437,0.01328,1.41668,0.26093,0.25893,0.21154,0.09865,0.25934,0.25501,0.20583,0.09661,1.78628,3.0874,5.60418,0.02053,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,431.782,1.557,2.34378,4.70045,0.01355,1.34561,0.45625,0.27354,0.23785,0.1091,0.44634,0.24531,0.21528,0.1014,1.74466,2.95614,5.16969,0.02038,0,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,482.295,1.54484,2.35771,4.47716,0.01336,1.34038,0.3594,0.31146,0.25115,0.12157,0.37116,0.31221,0.24131,0.11164,1.69158,2.91937,4.87575,0.01964,0,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,534.683,1.54278,2.28345,4.43759,0.01285,1.35177,0.26021,0.32556,0.25229,0.12431,0.25714,0.31774,0.24875,0.12447,1.72027,2.78507,4.77948,0.02024,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,586.057,1.51615,2.27636,4.28932,0.01205,1.31966,0.49033,0.31831,0.28377,0.13949,0.46411,0.28945,0.25943,0.13212,1.68748,2.842,4.74134,0.01997,0,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,637.81,1.49452,2.21032,4.25169,0.0129,1.24989,0.40001,0.36041,0.28146,0.14102,0.39968,0.35181,0.26511,0.13532,1.68324,2.94642,4.51903,0.01975,0,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,689.463,1.52755,2.21667,4.30389,0.01302,1.3235,0.43596,0.39999,0.34978,0.16126,0.34951,0.3512,0.30407,0.14805,1.68728,2.83969,4.65995,0.02001,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,741.58,1.5536,2.26594,4.2514,0.01287,1.24267,0.47517,0.32629,0.31718,0.15847,0.4613,0.30261,0.28318,0.15096,1.70616,2.87715,4.6001,0.02014,0,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,793.032,1.513,2.15044,4.06472,0.01327,1.20571,0.3019,0.33454,0.25686,0.1208,0.25886,0.26796,0.20787,0.10574,1.82462,3.10691,5.84531,0.02163,0,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,843.483,1.55846,2.20371,4.14272,0.01328,1.24056,0.40834,0.32452,0.28719,0.14312,0.33453,0.29288,0.25885,0.14274,1.76053,2.92445,4.90931,0.02064,0,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,894.1,1.53429,2.17047,4.12501,0.01341,1.17279,0.31425,0.36759,0.31981,0.15932,0.26948,0.39,0.29479,0.1548,1.66795,2.79783,4.51098,0.01965,0,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,945.662,1.47299,2.07846,3.74247,0.01238,1.09861,0.38706,0.35765,0.32997,0.16986,0.37721,0.34123,0.30847,0.16004,1.7409,2.87609,4.56772,0.02029,0,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,997.63,1.48465,2.09612,3.87883,0.01285,1.11041,0.34544,0.37827,0.30699,0.15514,0.34696,0.35926,0.29154,0.15686,1.72907,2.861,4.59651,0.02061,0,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,1047.72,1.5206,2.1585,3.93206,0.01316,1.13111,0.33042,0.40969,0.32102,0.16341,0.33633,0.36628,0.3105,0.15958,1.70885,2.87036,4.25345,0.01991,0,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,1098.14,1.47831,2.0706,3.8321,0.01264,1.13792,0.31594,0.30919,0.27919,0.14256,0.31337,0.32816,0.28847,0.15008,1.72486,2.84536,5.0627,0.02023,0,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,1148.32,1.46659,2.08718,3.66022,0.01229,1.10564,0.38112,0.31893,0.29565,0.15829,0.34564,0.34325,0.29605,0.15593,1.73277,2.8892,5.21087,0.02061,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,1199.04,1.48056,2.07107,3.6965,0.01193,1.07267,0.39347,0.42129,0.33393,0.1809,0.37446,0.40004,0.30612,0.16615,1.74228,2.81988,4.52836,0.02052,0,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,1250.43,1.45788,2.07182,3.59169,0.01238,1.00532,0.46513,0.3757,0.34384,0.17257,0.34417,0.34889,0.30922,0.15738,1.72725,2.85626,4.41448,0.01972,0,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,1301.51,1.46539,2.01736,3.64949,0.01267,1.09712,0.22142,0.23093,0.18012,0.08598,0.269,0.22543,0.17805,0.08825,2.00078,3.42475,6.96153,0.02458,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,1351.78,1.44341,2.00842,3.46922,0.01197,1.07031,0.29345,0.3732,0.28523,0.14456,0.27053,0.34964,0.25375,0.14226,1.71964,2.9171,4.74695,0.02068,0,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,1401.87,1.46421,2.04351,3.53083,0.01214,1.01485,0.43537,0.29376,0.28725,0.12642,0.31165,0.31975,0.24326,0.12236,1.77164,2.98292,5.19561,0.02161,0,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,1452.15,1.43824,1.95792,3.36303,0.01168,1.04871,0.41529,0.37333,0.33883,0.1594,0.48992,0.28321,0.3026,0.15955,1.77697,3.05024,5.28069,0.0209,0,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,1502.3,1.45567,1.99152,3.40304,0.01222,0.96264,0.36317,0.37143,0.32429,0.16129,0.3513,0.35479,0.29677,0.15442,1.79802,2.97406,4.74725,0.02151,0,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,1552.45,1.46184,1.94817,3.37806,0.01151,0.96235,0.38159,0.42979,0.33029,0.16079,0.35478,0.42095,0.29942,0.15228,1.67623,2.95961,4.80197,0.01956,0,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,1603.03,1.43893,1.91595,3.43133,0.01214,0.99141,0.43542,0.33683,0.33867,0.17334,0.32773,0.36216,0.29525,0.16314,1.74556,3.05346,5.02791,0.02066,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,1653.54,1.42342,1.91827,3.4019,0.01118,0.99654,0.40027,0.41242,0.36366,0.19508,0.37905,0.40069,0.32445,0.17992,1.66594,2.88474,4.32223,0.019,0,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,1705.01,1.42891,1.89006,3.3264,0.01191,0.95799,0.40202,0.41065,0.37326,0.19877,0.37378,0.35443,0.32497,0.18955,1.7045,3.01435,4.30074,0.01968,0,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
