epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,63.3234,1.30294,1.75206,1.70121,0.01085,1.09354,0.46207,0.33428,0.34939,0.18514,0.45503,0.32779,0.32915,0.17583,1.77389,2.86748,2.31222,0.02171,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,117.505,1.3087,1.6994,1.65173,0.01036,1.02467,0.40696,0.34862,0.31672,0.17325,0.41769,0.34648,0.31734,0.16751,1.68675,2.73841,2.3724,0.02027,0,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,174.221,1.25617,1.62424,1.54441,0.01029,0.93042,0.41351,0.45012,0.40103,0.22077,0.41021,0.44102,0.39044,0.21011,1.75371,2.94584,2.08755,0.0207,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,235.484,1.29101,1.65747,1.56485,0.01061,0.95194,0.39103,0.29871,0.27332,0.14488,0.3954,0.28421,0.26079,0.13668,1.85119,3.2223,2.98967,0.0223,0,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,298.856,1.25376,1.60203,1.52072,0.01023,0.9178,0.40899,0.4025,0.35743,0.19193,0.41172,0.39167,0.34812,0.18098,1.78901,2.97874,2.32355,0.02104,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,353.5,1.33692,1.80832,1.75886,0.01124,0.9991,0.36384,0.27514,0.25205,0.14698,0.33089,0.27847,0.25876,0.14493,1.84942,3.25131,3.36802,0.02197,0,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,413.838,1.36216,1.8652,1.79485,0.01121,1.02489,0.39269,0.37443,0.3308,0.1848,0.36629,0.35601,0.31092,0.17191,1.68052,2.76033,2.18168,0.01934,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,472.878,1.32246,1.83857,1.70358,0.01082,1.01512,0.44308,0.34868,0.34152,0.17365,0.40727,0.33278,0.30447,0.16591,1.79558,3.01149,2.6502,0.02134,0,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,530.393,1.33961,1.81682,1.67198,0.01113,0.99726,0.39463,0.42391,0.36374,0.18114,0.39228,0.37894,0.31841,0.17185,1.75742,2.92226,2.28768,0.02086,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,589.909,1.33782,1.79052,1.72101,0.01081,1.01316,0.48382,0.40494,0.40394,0.21192,0.45666,0.37792,0.36431,0.20155,1.71139,2.82325,2.11591,0.01991,0,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,650.21,1.33165,1.82476,1.69071,0.01108,0.95136,0.44743,0.3969,0.38113,0.19942,0.44617,0.37203,0.35577,0.18942,1.69282,2.83546,2.15371,0.01982,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,706.28,1.34068,1.75787,1.63709,0.01063,1.01694,0.40417,0.37858,0.36453,0.18765,0.38549,0.37235,0.34123,0.18922,1.71364,2.87766,2.31096,0.02005,0,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,768.496,1.31093,1.80779,1.66893,0.01073,1.00068,0.3499,0.3302,0.30589,0.16401,0.36716,0.30634,0.28363,0.1574,1.75803,3.08479,2.70137,0.02032,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,822.387,1.30923,1.79313,1.64237,0.01042,0.93077,0.4394,0.36599,0.38222,0.21368,0.44387,0.36774,0.3739,0.21018,1.69,2.7218,2.13317,0.01995,0,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,875.796,1.32144,1.77542,1.61858,0.01125,0.91664,0.42863,0.27387,0.27793,0.15483,0.43907,0.26747,0.26476,0.15747,1.81352,3.08817,3.21101,0.02223,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,929.905,1.31613,1.7611,1.68197,0.01083,0.97276,0.56861,0.34715,0.3847,0.21265,0.50419,0.32345,0.34653,0.20197,1.72837,2.91443,2.3851,0.02028,0,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,986.573,1.33136,1.77021,1.64567,0.01085,0.9515,0.47783,0.41396,0.38189,0.20653,0.46246,0.40317,0.35236,0.19416,1.75864,2.91414,2.31978,0.02078,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,1050.14,1.30254,1.71077,1.6085,0.01068,0.9346,0.41047,0.40822,0.37702,0.20772,0.4063,0.39653,0.3616,0.20262,1.68312,3.06789,2.18756,0.02003,0,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,1104.67,1.30505,1.78621,1.65325,0.01083,0.94367,0.38822,0.37734,0.35345,0.18763,0.36922,0.36543,0.31793,0.17568,1.7109,2.94343,2.34501,0.02042,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,1163.65,1.26727,1.69783,1.57208,0.01019,0.91853,0.45471,0.47755,0.42116,0.21517,0.55653,0.35356,0.34727,0.19797,1.75058,3.04505,2.21046,0.02034,0,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,1219.51,1.32161,1.6747,1.59344,0.01056,0.93736,0.41969,0.39739,0.37982,0.20336,0.40692,0.39902,0.36274,0.19769,1.74008,2.95862,2.22939,0.02056,0,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,1278.94,1.28928,1.72881,1.56743,0.0106,0.91618,0.38035,0.41286,0.34135,0.18591,0.38799,0.40676,0.32456,0.17408,1.73243,2.92658,2.41838,0.02049,0,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
